"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"mintty","2","365","5020823552","323584","8638464","20800","C:\Program Files\Git\usr\bin\mintty.exe","Thomas Wolff, Andy Koppe","3.484375","3.6.3.0","3.6.3","MSYS2 terminal","mintty","Process","8",,"False",,"3052","Microsoft.Win32.SafeHandles.SafeProcessHandle","365","4608",".","66670","MINGW64:/c/Users/timothy/SYS-320/Week 8","System.Diagnostics.ProcessModule (mintty.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20800","20800","8638464","8638464","277560","277560","8769536","8769536","21237760","21237760","735424512","5030391808","True","Normal","8638464","8638464","00:00:02.4687500","mintty","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:40:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.4843750","00:00:01.0156250","725856256","5020823552","False",,,,"323584","323584",,
"msedge","2","294","3486411812864","1392640","33058816","17376","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","1.859375","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","4",,"False",,"5568","Microsoft.Win32.SafeHandles.SafeProcessHandle","294","2260",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17376","17376","33058816","33058816","694168","694168","47054848","47054848","78057472","78057472","-1076215808","3486437228544","True","Idle","33058816","33058816","00:00:00.8593750","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:39:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.8593750","00:00:01","-1101631488","3486411812864","False",,,,"1392640","1392640",,
"msedge","2","261","3486397345792","905216","17104896","15608","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.828125","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"5612","Microsoft.Win32.SafeHandles.SafeProcessHandle","261","2920",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15608","15608","17104896","17104896","682296","682296","38076416","38076416","65032192","65032192","-1090891776","3486422552576","True","Normal","17104896","17104896","00:00:00.4218750","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:38:27 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8281250","00:00:00.4062500","-1116098560","3486397345792","False",,,,"905216","905216",,
"msedge","2","226","3486376370176","1081344","17571840","15064","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.34375","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","4",,"False",,"5988","Microsoft.Win32.SafeHandles.SafeProcessHandle","226","3824",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15064","15064","17571840","17571840","678192","678192","17661952","17661952","28700672","28700672","462860288","3487976304640","True","Idle","17571840","17571840","00:00:00.2500000","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 11:21:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3437500","00:00:00.0937500","-1137074176","3486376370176","False",,,,"1081344","1081344",,
"msedge","2","179","2272196227072","0","2134016","9512","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.078125","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3864","Microsoft.Win32.SafeHandles.SafeProcessHandle","179","4020",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9512","9512","2134016","2134016","132288","132288","2306048","2306048","7495680","7495680","192081920","2272229781504","True","Normal","2134016","2134016","00:00:00.0625000","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:35:57 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0156250","158527488","2272196227072","False",,,,"0","0",,
"msedge","2","1695","2341671886848","8183808","63639552","63144","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","29.234375","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"6064","Microsoft.Win32.SafeHandles.SafeProcessHandle","1695","5400",".","328244","localhost:57482/?code=f7e0809d21dff94f4c5c&state=c2c906f6fa17412db1f82ed94c2c4c77 and 3 more pages - Profile 1 - Microsoft? Edge","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","63144","63144","63639552","63639552","1193944","1193944","76587008","76587008","137994240","137994240","1137893376","2341895069696","True","Normal","63639552","63639552","00:00:18.7031250","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:35:57 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:29.2343750","00:00:10.5312500","914710528","2341671886848","False",,,,"8183808","8183808",,
"msedge","2","292","2306893615104","5189632","13086720","16864","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","7.328125","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"5648","Microsoft.Win32.SafeHandles.SafeProcessHandle","292","5480",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16864","16864","13086720","13086720","737080","737080","21606400","21606400","31928320","31928320","580063232","2306977501184","True","Normal","13086720","13086720","00:00:04.4843750","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:35:58 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.3281250","00:00:02.8437500","496177152","2306893615104","False",,,,"5189632","5189632",,
"msedge","2","218","2306845368320","909312","8187904","13864","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.5","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"776","Microsoft.Win32.SafeHandles.SafeProcessHandle","218","5516",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13864","13864","8187904","8187904","682168","682168","8314880","8314880","17580032","17580032","473096192","2306870534144","True","Normal","8187904","8187904","00:00:00.3281250","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:35:58 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5000000","00:00:00.1718750","447930368","2306845368320","False",,,,"909312","909312",,
"msedge","2","342","2306926804992","991232","14184448","19232","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","5.203125","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","10",,"False",,"5504","Microsoft.Win32.SafeHandles.SafeProcessHandle","342","5572",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19232","19232","14184448","14184448","741568","741568","22003712","22003712","55357440","55357440","563920896","2306961358848","True","AboveNormal","14184448","14184448","00:00:03.5468750","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:35:58 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.2031250","00:00:01.6562500","529367040","2306926804992","False",,,,"991232","991232",,
"msedge","2","332","3486405730304","7856128","43745280","15976","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","12.5","111.0.1661.44","111.0.1661.44","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"5556","Microsoft.Win32.SafeHandles.SafeProcessHandle","332","6352",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15976","15976","43745280","43745280","670000","670000","45838336","45838336","56225792","56225792","462860288","3487976304640","True","Normal","43745280","43745280","00:00:03.8125000","msedge","3","True","2","System.Diagnostics.ProcessStartInfo","3/21/2023 10:38:27 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:12.5000000","00:00:08.6875000","-1107714048","3486405730304","False",,,,"7856128","7856128",,
